season,week,gsis_id,name,position,pts
2025,1,00-0023459,Aaron Rodgers,QB,25.66
2025,1,00-0034855,Baker Mayfield,QB,22.58
2025,1,00-0039732,Bo Nix,QB,6.84
2025,1,00-0037834,Brock Purdy,QB,16.78
2025,1,00-0039150,Bryce Young,QB,8.16
2025,1,00-0039163,C.J. Stroud,QB,8.72
2025,1,00-0039918,Caleb Williams,QB,24.2
2025,1,00-0040676,Cam Ward,QB,2.48
2025,1,00-0033077,Dak Prescott,QB,7.82
2025,1,00-0035710,Daniel Jones,QB,29.48
2025,1,00-0039851,Drake Maye,QB,15.28
2025,1,00-0030565,Geno Smith,QB,17.48
2025,1,00-0039923,J.J. McCarthy,QB,22.22
2025,1,00-0036389,Jalen Hurts,QB,24.28
2025,1,00-0040673,Jalen Milroe,QB,0.1
2025,1,00-0033106,Jared Goff,QB,10.9
2025,1,00-0039910,Jayden Daniels,QB,20.12
2025,1,00-0036442,Joe Burrow,QB,8.82
2025,1,00-0026158,Joe Flacco,QB,12.2
2025,1,00-0036264,Jordan Love,QB,15.92
2025,1,00-0034857,Josh Allen,QB,38.76
2025,1,00-0036945,Justin Fields,QB,29.52
2025,1,00-0036355,Justin Herbert,QB,27.92
2025,1,00-0035228,Kyler Murray,QB,18.32
2025,1,00-0034796,Lamar Jackson,QB,29.36
2025,1,00-0026498,Matthew Stafford,QB,13.6
2025,1,00-0039917,Michael Penix Jr.,QB,24.02
2025,1,00-0033873,Patrick Mahomes,QB,26.02
2025,1,00-0029263,Russell Wilson,QB,11.12
2025,1,00-0034869,Sam Darnold,QB,5.4
2025,1,00-0039376,Spencer Rattler,QB,11.46
2025,1,00-0036971,Trevor Lawrence,QB,10.32
2025,1,00-0036212,Tua Tagovailoa,QB,5.26
2025,1,00-0037013,Zach Wilson,QB,1.58
2025,1,00-0036265,AJ Dillon,RB,1.0
2025,1,00-0033293,Aaron Jones,RB,14.2
2025,1,00-0033906,Alvin Kamara,RB,12.7
2025,1,00-0036328,Antonio Gibson,RB,0.3
2025,1,00-0040122,Ashton Jeanty,RB,11.0
2025,1,00-0033699,Austin Ekeler,RB,7.2
2025,1,00-0040719,Bhayshul Tuten,RB,1.1
2025,1,00-0038542,Bijan Robinson,RB,21.4
2025,1,00-0039738,Blake Corum,RB,2.1
2025,1,00-0038488,Brady Russell,RB,0.0
2025,1,00-0039794,Braelon Allen,RB,6.9
2025,1,00-0040078,Brashard Smith,RB,0.0
2025,1,00-0038120,Breece Hall,RB,15.5
2025,1,00-0037746,Brian Robinson,RB,4.2
2025,1,00-0039361,Bucky Irving,RB,12.5
2025,1,00-0040715,Cam Skattebo,RB,1.9
2025,1,00-0038597,Chase Brown,RB,12.1
2025,1,00-0038685,Chris Brooks,RB,0.8
2025,1,00-0033280,Christian McCaffrey,RB,18.7
2025,1,00-0036555,Chuba Hubbard,RB,16.4
2025,1,00-0035567,Craig Reynolds,RB,0.0
2025,1,00-0036275,D'Andre Swift,RB,8.0
2025,1,00-0040179,DJ Giddens,RB,4.1
2025,1,00-0037258,Dameon Pierce,RB,0.5
2025,1,00-0033854,Dare Ogunbowale,RB,1.6
2025,1,00-0035685,David Montgomery,RB,6.3
2025,1,00-0039040,De'Von Achane,RB,15.0
2025,1,00-0032764,Derrick Henry,RB,28.7
2025,1,00-0040202,Devin Neal,RB,0.9
2025,1,00-0035250,Devin Singletary,RB,0.9
2025,1,00-0039407,Dylan Laube,RB,0.0
2025,1,00-0040162,Dylan Sampson,RB,13.3
2025,1,00-0038797,Emanuel Wilson,RB,0.4
2025,1,00-0038705,Emari Demercado,RB,0.0
2025,1,00-0039299,George Holani,RB,0.0
2025,1,00-0037617,Hassan Haskins,RB,0.0
2025,1,00-0039363,Isaac Guerendo,RB,0.0
2025,1,00-0039798,Isaiah Davis,RB,1.8
2025,1,00-0037197,Isiah Pacheco,RB,3.8
2025,1,00-0036158,J.K. Dobbins,RB,13.8
2025,1,00-0038896,Jacob Saylors,RB,0.0
2025,1,00-0040242,Jacory Croskey-Merritt,RB,14.2
2025,1,00-0039139,Jahmyr Gibbs,RB,10.0
2025,1,00-0033553,James Conner,RB,12.4
2025,1,00-0037248,James Cook,RB,18.7
2025,1,00-0036997,Javonte Williams,RB,19.4
2025,1,00-0037228,Jaylen Warren,RB,12.9
2025,1,00-0033955,Jeremy McNichols,RB,2.5
2025,1,00-0037267,Jerome Ford,RB,1.0
2025,1,00-0036223,Jonathan Taylor,RB,11.3
2025,1,00-0037525,Jordan Mason,RB,8.0
2025,1,00-0035700,Josh Jacobs,RB,13.5
2025,1,00-0037594,Julius Chestnut,RB,0.2
2025,1,00-0034975,Justice Hill,RB,-0.6
2025,1,00-0040142,Kaleb Johnson,RB,-0.2
2025,1,00-0033923,Kareem Hunt,RB,3.6
2025,1,00-0038551,Kendre Miller,RB,2.4
2025,1,00-0036842,Kene Nwangwu,RB,0.0
2025,1,00-0038134,Kenneth Walker III,RB,3.9
2025,1,00-0036919,Kenny Gainwell,RB,3.8
2025,1,00-0040236,Kyle Monangai,RB,1.6
2025,1,00-0037840,Kyren Williams,RB,13.4
2025,1,00-0040238,LeQuint Allen Jr.,RB,1.6
2025,1,00-0035243,Miles Sanders,RB,3.5
2025,1,00-0036893,Najee Harris,RB,1.5
2025,1,00-0034791,Nick Chubb,RB,6.0
2025,1,00-0040198,Ollie Gordon II,RB,0.8
2025,1,00-0040666,Omarion Hampton,RB,7.1
2025,1,00-0040730,RJ Harvey,RB,7.4
2025,1,00-0037256,Rachaad White,RB,2.1
2025,1,00-0040466,Raheim Sanders,RB,6.3
2025,1,00-0039796,Rasheen Ali,RB,0.5
2025,1,00-0039875,Ray Davis,RB,0.6
2025,1,00-0036875,Rhamondre Stevenson,RB,3.7
2025,1,00-0036139,Rico Dowdle,RB,2.6
